id;hotel_name;review_score
15056N;The Cabin Tugu Hostel;8.5
22646;Java Villas Boutique Hotel & Resto;9.0
22176;RedDoorz Syariah near Malioboro Mall;6.0
22438;Hotel Bakti;5.0
21731;Royal Darmo Malioboro;8.0
22778;The Sixth Room;9.5
22719;RedDoorz near Malioboro Mall 2;7.6
21523;Sartika Hotel Prawirotaman;8.3
D;Omah Teras Bata Guesthouse;9.1
10002;OYO 3945 Bale Tardian Syariah;7.9
21912;RedDoorz Plus @ Taman Siswa 3;7.8
21832;M Stay Guest House Jogja;8.8
22411;Omah Manis;9.0
22379;Omah Manis;9.0
22381;Laxston Hotel;7.7
22798;Madina Inn Hotel;9.1
22726;Uniq Hotel;7.3
22926;Delta Homestay;8.1
22839;Alam Jogja Resort;7.7
22838;Banana Homestay Prawirodirjan;8.1
22783;Tara Hotel Yogyakarta;8.0
35004C;Villa Blue Steps;9.3
82484;Grand Kangen Hotel Urip Sumoharjo;7.6
84755;City Stay Homestay Jogja;8.7
22464;Agung Inn;9.1
21324;Naima Jiwo;8.7
22457;Metro Malioboro Living;7.9
22469;Pojok Pas;8.7
22470;Rejeki Homestay Malioboro;7.3
22224;Grand Marto Hotel;8.4
21340;RedDoorz near Terminal Wates Kulon Progo;7.2
22189;Mitu Pugeran Homestay;8.3
22427;The Westlake Hotel & Resort Yogyakarta;8.6
22428;OYO 1046 Omah Pathok Near RS Ludira Husada Tama;9.1
22424;Hotel Olympic Jogja;7.6
22783;Kampung Lawasan Heritage Cottage;8.8
22961;de Laxston Hotel Jogja by AZANA;7.2
22960;Rosella Cottage - Homestay - Kitchen Yogyakarta;9.0
22663;Palem Kipas Homestay;9.5
85049A;OYO 90033 DeHome Family;9.4
22168;LPP Convention Hotel Demangan;7.3
22662;Arrayan Malioboro Syariah;8.4
84880;favehotel Malioboro - Yogyakarta;8.3
85099C;Sky Hotel;7.9
85099B;Bladok Hotel & Restaurant;8.4
79321;Trava House;9.3
22780;The Westlake Hotel & Resort Yogyakarta;8.6
22779;Safa Homestay;8.6
22466;Naima Jiwo;8.7
21731;Rabbani Family Homestay;8.9
21754;@HOM Premiere Timoho;8.5
21755;Grand Serela Yogyakarta by KAGUM Hotels;7.9
21523;Ros-In Hotel;7.4
21363;Pyrenees Jogja;7.5
21411;RedDoorz near Sleman City Hall 2;8.0
22318;Dipan Guest House Yogyakarta;9.2
22464;Hotel Heryon;7.2
22915;Hotel Heryon;7.2
22922;Emersia Malioboro Hotel;7.9
22969;Wisma Ary's;8.2
22923;Villa Bougenville;9.1
21115;Duta Boutique Villa;8.7
22469;Peti Mas Hotel;7.9
22242;Gowes House Yogyakarta - Malioboro;9.2
22941;Otu Hostel By Ostic;9.4
21622;RedDoorz near Gejayan 3;8.9
21791;RedDoorz near Jogja City Mall 4;8.4
35004C;Villa Sunset Jogjakarta;8.6
35004G;OYO 1473 Omah Tentrem Syariah;8.8
85014B;The LaWang Yogya;8.7
85014A;Allstay Hotel Yogyakarta;7.5
22193;Cavinton Hotel Yogyakarta by Tritama Hospitality;8.6
22726;Taman Yuwono Heritage Malioboro;8.5
22727;Andelis Homestay;9.0
22192;Full House at The Omah Alun Alun Kidul;8.8
22191;The Capsule Malioboro;8.4
22195;RedDoorz Plus @ Jalan Damai 2;6.8
22196;Srikandi Baru Inn;8.2
22941;RedDoorz @ Hotel Citra Indah;6.5
22960;Yogyakarta BnB;9.2
22961;Pandanaran Prawirotaman Yogyakarta;7.7
22962;University Club (UC) Hotel UGM;7.6
22963;Omah Njonja Bed & Brasserie;8.3
22968;RedDoorz Syariah near Taman Pelangi Monjali;8.7
84970S;Summer Season Boutique Hotel;6.4
22910;Homestay HD Inn;7.1
20668;OYO 1683 Hotel Musafira Syariah;8.0
85123A;Villa Kayu Yogyakarta;9.4
22197;Ayaartta Hotel Malioboro;8.3
22198;OYO Life 2348 Omah Lasaro Exclusive;7.8
21533;Paku Mas Hotel;8.4
21080;The LaWang Yogya;8.7
21094;Mi Casa Es Tu Casa;7.1
21086;The Cabin Hotel;7.9
21786;OYO 194 Hotel Sapta Gria Near RS Bethesda;7.6
22654;Argya Guesthouse;8.9
21485;Nariska Suite Homestay;9.1
84029G;OYO 417 Bama Guesthouse Near RSUP Dr Sardjito;7.9
84030E;Metro Guest House;7.3
22174;Manggar 3 Room - Mount View Apartment;8.1
22969;Grand Puri Saron Yogyakarta;8.0
85099B;Rosseno Villa;9.6
22556;OYO 2285 Art Guest House Syariah;8.8
21984;RedDoorz Plus near Alun Alun Selatan 2;7.9
21983;RedDoorz Plus near Gembira Loka Zoo 2;9.0
21980;SPOT ON 2419 Rumah Nugraha Hotel Syariah;5.2
21484;RedDoorz Plus near Stadion Mandala Krida;7.3
22557;RedDoorz Syariah near Taman Pelangi Monjali;8.7
22553;premier exclusive;8.8
22150;RedDoorz near Terminal A Adisucipto Airport;8.4
22619;OYO 611 The Edwin Syariah;9.0
21891;Ndalem Warungboto Homestay;8.4
21889;Ayaartta Hotel Malioboro;8.3
22827;Tembi Rumah Budaya;8.4
22127;OYO 2627 Ratamya Co-living;8.0
22128;Choerniadi Tomo Villa;9.2
22502;ABRAKADABRA! ARTBNB;9.2
84879;OYO 3267 Omah Suryo;8.2
22338;Ngomah Tentrem;9.5
22180;Unique Homestay 443;9.2
21506;OYO 3778 Hotel Wisnugraha Syariah;7.5
22633;OYO 804 Ndalem Maharani Residence;7.9
22866;OYO 3778 Hotel Wisnugraha Syariah;7.5
22865;OYO 804 Ndalem Maharani Residence;7.9
22632;Homestay / Guest House Dekat Malioboro;9.1
21485;Satya Graha;6.9
22349;RedDoorz Plus @ Prawirotaman Area;6.4
22558;OYO 3263 House 140;6.5
85152;Hotel Indah Palace Yogyakarta;8.1
85123A;Snooze;9.5
22652;Airlangga Hotel;7.7
22188;Rumah Panjaitan;8.7
84879;Hotel Kirana;8.4
21977;RedDoorz @ Seturan Raya;6.9
84991;Le Krasak Boutique Hotel;7.9
21212;Hotel Nugraha;7.4
21484;The Mangkoro by Yuwono Hospitality;8.8
21314;Pondok Sare;8.7
22730;RedDoorz near UMY Yogyakarta 2;7.9
22727;RedDoorz Syariah near Galeria Mall Yogyakarta;7.1
22729;RedDoorz Plus Syariah near Lempuyangan Station 3;7.1
22726;OYO 647 Irooms Residence;8.2
22114;OYO 594 Joglo Manggisan Syariah;8.8
22867;Posnya Seni Godod Art Gallery & Homestay;9.1
22866;Hotel Atalie Malioboro Manage By Yuwono Hospitality;7.4
85123A;OYO 594 Joglo Manggisan Syariah;8.8
71053;Posnya Seni Godod Art Gallery & Homestay;9.1
84406B;Hotel Atalie Malioboro Manage By Yuwono Hospitality;7.4
15056BL;Pawon Cokelat Guesthouse;8.0
20679;Wanderlust Homestay;7.4
37370;RedDoorz Plus @ Rumah Kandjani;9.0
21871;Villa Pohon;6.5
21071;RedDoorz @ Swakarya Kaliurang;7.1
21068;Jaya Homestay;8.7
82483;Ndalem Mantrijeron Hotel;8.6
82486;RedDoorz near Hartono Mall 3;7.1
82482;Bedhots Homestay;9.1
82494L;OYO 999 Garuda Guesthouse;7.8
84029G;RedDoorz Plus near STIE YKPN;8.1
84029E;Farmhouse Homestay Jogja;8.6
22752;Villa Mata Air;7.1
22803;Santai Sini Hostel;9.4
21730;Villa Mata Air;7.1
35004B;Santai Sini Hostel;9.4
35004C;KoolKost Female Syariah @ Gejayan Jogja;8.5
21980;Cabin Hotel Bhayangkara;8.1
21844;OYO 2347 Griya Patran Near RS Queen Latifa;6.9
22468;Laura's Backpacker 523;8.8
22637;Jiwanta Homestay;9.3
22752;La Javanaise Home Stay Malioboro;7.3
48185;RedDoorz near Pojok Beteng Yogyakarta;7.8
22632;Home Addicts Hostel;8.7
22866;OYO 2041 Griya Aneka;6.9
22865;RedDoorz Syariah near Gembira Loka Zoo;8.1
21232;Aloha Hotel Yogyakarta;9.3
22064;Griya Asih;9.3
22449;RedDoorz Plus @ Pogung Raya;7.7
22114;ArFe Room Apartemen Taman Melati Yogyakarta Sinduadi;7.2
22835;Malioboro Garden Hotel;6.8
22112;nDalem Natan Royal Heritage;7.5
21479;Simply Stay Homestay Jogja;7.4
22111;RedDoorz Plus near Jogja Kembali Monument;6.3
22632;RedDoorz near Candi Ratu Boko;6.5
22633;RedDoorz near Universitas Muhammadiyah Yogyakarta;7.8
22969;The Soemarsono Hotel;6.6
22110;RedDoorz @ Jalan Palagan;6.6
22098;Nugraha Residence;7.9
22100;OYO 2008 Sellinas Family ResidenceÃ‚ Near RSUP Dr Sardjito;7.7
22766;De Hostel Yogyakarta;8.9
22451;Rumah Mba Ayu;9.1
22549;Grand Omah Sastro;7.9
84744;Amaya Suites Hotel;6.4
85049E;Hotel Graha Kinasih Kotabaru;9.0
21328;RedDoorz near AMIKOM Yogyakarta 2;8.7
22961;Andrea Hotel;8.2
17091A;Nueve Malioboro Hotel Yogyakarta;7.3
22473;Vivo Apartment Pool Side by We Stay;8.9
84509A;RedDoorz @ Sagan Jogja 2;8.2
84510A;Imperial Villa;9.5
22767;Griya Langen Guesthouse;8.9
22768;Ndalem Timoho;9.4
21463;Omah Wienna;9.2
21464;Villa Mak Cik;9.5
20820;Hotel Amalia Malioboro;7.8
85150;RedDoorz @ Jalan Wonosari KM.9;7.2
22117;Hotel BIFA;6.9
21169;OYO 524 Makuta Hotel Near RSUD Kota Yogyakarta;7.8
48129;Front One Cabin Malioboro Jogja;8.5
82580;Green Leaf Guest House;6.8
82578;RedDoorz Syariah near Taman Pelangi Jogja 2;8.5
82581;RedDoorz near Jogja National Museum;8.3
22413;Urban Fendi's Tirtodipuran;9.7
21907;RedDoorz Plus @ Hotel Star 88;8.5
22441;RedDoorz near Hartono Mall;7.5
21122;OYO 857 Pakuncen Malioboro Syariah;8.2
22851;Griya Suryo Wijilan;7.9
84991;GAYENG Homestay - Only for LOCAL Tourist NOT FOR FOREIGN Tourist;7.8
22810;OYO 2684 Wisma Orange;7.4
22809;Hotel Tulips;7.4
22435;Cabin Hotel Sutomo;8.0
20966;Hotel Galuh Anindita;7.8
20963;Malioboro Place;8.3
20961;Riverside Homestay Jogja;7.8
22068;SUNKISS VILLA by Yogya Tropicana;9.5
21743;OYO 1855 Elise Exclusive Residence;5.5
21744;House of Belva;8.8
84709B;House of Joy;9.4
21592;Sante Commune Yogyakarta;9.2
21587;Tegal Panggung Guest House;8.5
20992;RedDoorz near Adisucipto Airport 3;6.6
22662;Rumah Ukhi;9.3
85123A;Indraloka Heritage Homestay;7.3
22804;RedDoorz near Hartono Mall;7.5
82483;Ndalem Malioboro;9.0
20749;RedDoorz @ Jalan Ringroad Selatan;7.9
20725;Ada Waktu Bed & Breakfast;9.3
22382;OstiC House;9.2
20726;Ndalem Suratin Guesthouse;8.4
22384;BeOne House Jogja;8.3
22467;RedDoorz Syariah near UIN Yogyakarta;7.5
84625C;RedDoorz Plus near Alun Alun Selatan;7.4
84625A;Imogen BnB;8.3
21108;Prayogo Lama Prawirotaman;7.4
22848;OYO 759 Hotel Dewi Sri;7.3
21033;RedDoorz near XT Square Yogyakarta;7.6
47570B;OYO 465 Alam Citra Bed & Breakfast;8.8
84030E;Ndalem Diajeng;8.5
22428;RedDoorz near Terminal Condong Catur 2;8.5
22502;Canary Guesthouse;8.3
22086;RedDoorz Plus @ Demangan Gejayan;8.1
22910;Firdaus Guest House;8.6
22837;OYO 3864 Babaran 71;8.1
22867;SPOT ON 2881 Nabila Homestay;3.8
POST;RedDoorz Plus @ Affandi Gejayan;6.8
22297;House of Belva;8.8
22771;Krakatau Homestay Timoho;6.6
22772;So Homestay 21;9.6
22773;RedDoorz near Graha Saba UGM;8.6
22805;OYO 572 Omah Gedongkuning Syariah Homestay;8.4
22469;OYO 572 Omah Gedongkuning Syariah Homestay;8.4
22197;RedDoorz Plus @ Terban Residence;9.0
21125;Yogyakarta Backpacker 1 Ngampilan;7.6
21126;Surya Darma Homestay;8.6
85049C;OYO 1643 Grand Monica;5.9
85049D;Hotel Mataram 2 Malioboro;6.3
85049E;Nadira Homestay;9.1
85049G;nDalem Eyang Dwijo;9.0
21061;OYO 206 Hotel Candra Kirana Near RSUD Kota Yogyakarta;8.7
21063;Omah Sumur;7.0
21062;KoolKost near Hartono Mall Yogyakarta;8.5
84380;RedDoorz Plus near Adisucipto Airport 2;7.6
84378;OYO 2669 Crown Residence;8.1
22964;Naura Guest House;9.4
21213;RedDoorz near Jogja City Mall;7.4
22417;RedDoorz Plus @ Jalan Parangtritis 2;8.1
21212;OYO 1150 Omah Ladrang Near RSUP Dr Sardjito;8.4
84992;The Victoria Hotel Yogyakarta;8.0
21975;Omah Gerjen 29 by Bukit Vista;9.0
22383;Surokarsan Residence;8.2
20728;Fuji Villa;6.6
20727;SPOT ON 2857 Hotel Pelangi;6.5
22296;RedDoorz @ Turangga Sari;8.9
20914;Sela Stay;9.6
85123A;LAYA GUEST HOUSE;8.7
71053;Griya Amarta;8.5
84406B;RedDoorz near Jogja Expo Center 2;6.0
20679;RedDoorz Syariah near Puro Pakualaman Palace;8.0
37370;Good Karma Yogyakarta;9.2
21871;RedDoorz @ Jakal Atas KM 10;8.6
21071;Hotel Bugis Asri;8.1
21068;RedDoorz Syariah near Titik Nol Yogyakarta;7.4
82483;Surfrider Yogyakarta;9.7
82486;Hotel Limaran 1;6.9
82482;Grand Mansion Homestay Jogja;7.1
82494L;RedDoorz @ Omah Kayu Homestay;8.4
84029G;OYO 3707 Halona Guesthouse;7.9
84029E;OYO 244 Griya Cemara Homestay;8.9
22752;OYO 1846 The Ecovillage;6.7
22803;Yez Yez Yez All Good Hostel;8.8
21730;RedDoorz Plus @ Timoho;7.4
22632;Manggolo Homestay Syariah;7.5
22633;OYO 2268 Tim-tim Homestay;8.3
22537;OYO 261 Sasono Putro Residence;8.5
22533;Omah Sastro 2;8.3
20982;OYO 347 Bayang Brothers Guest House;9.6
21832;Prambanan Guesthouse;8.7
21915;Coliving Jogja Sweet Home Kost Lengkap di Jogjakarta;10.0
21914;RedDoorz near XT Square 3;7.3
21544;RedDoorz plus @ Tegal Panggung;7.1
22813;RedDoorz near RS Sarjito Yogyakarta 2;8.7
22114;OYO 3083 D Kost 3 Syariah;8.3
84029E;Jasmine Heritage Homestay;7.2
21479;Monica Hotel;6.8
22964;Grage Jogja Malioboro;7.9
84375;OYO 195 Stay @H Residence;8.4
22418;Mone House Jogja;8.4
22178;Arjuna Garden Homestay;8.5
84970L;Bunk Bed and Breakfast;8.8
21733;Surokarsan 9 Yogyakarta;9.0
22465;RedDoorz @ Jalan Parangtritis;7.9
84949;The Kresna Hotel;8.9
20685;D'Talent Hotel;8.7
48194;nDalem Joglo Krawitan;9.4
22488;Batik Trinidar Homestay;8.3
22219;With Friends Homestay Jogja;7.7
84879;Hotel Grand Rosela;7.9
21754;The Patio Yogya;9.3
21755;Hotel Wisma Sakinah;7.8
22766;RedDoorz near Pascasarjana UGM 2;7.0
22610;OYO 1118 Artomoro Family Guesthouse Near RS Ludira Husada Tama;8.1
22716;Watu Lumbung Culture Resort;6.3
22706;Selaras Inn Syariah;6.0
22371;OYO 2118 Fh Stay;8.7
85014B;OYO 1962 Anugerah Wisata Hotel;6.4
85014A;rumah566;9.2
84997B;RHouse Homestay;8.1
21212;RedDoorz near Ambarukmo Yogyakarta 2;3.7
21210;OYO 441 Namira Hotel Syariah;7.6
22914;RedDoorz near Ambarukmo Yogyakarta;8.8
22553;RedDoorz Plus near Taman Sari;8.0
16237;RedDoorz Hostel near Terminal Condongcatur Jogja;7.6
22714;EDU Hostel;7.3
22812;Ndalem Nuriyyat Villa, Spa & Skin Care;8.9
84347;ViaVia Guesthouse;8.7
21587;Hotel Grand Rosela;7.9
22736;Losmanos Hostel;8.7
22492;Arte Hotel Yogyakarta;7.9
22620;OYO 3144 Ndalem Amandari;7.6
22619;RedDoorz near UGM 3;7.2
21705;Villa Alicia;8.5
90199C;Pondok Sare;9.3
21479;Omah Kertonegoro;8.8
22111;Apartement Malioboro City Superblock;7.9
22785;Puri Langenarjan Guest House;7.9
22975;Manggo Home;5.9
22972;Omah awang Homestay;8.1
22866;Wayang BnB;9.3
22568;OYO 550 Kebon Krapyak Cottage Syariah;8.1
85116;Rumah 3 Kamar Full Ac Dekat Hartono Mall dan Kampus UGM;6.3
22664;RedDoorz near Rumah Sakit Wirosaban;7.7
21609;Hotel Safara Yogyakarta;7.8
21866;Filistay Homestay;9.8
20669;DOM Hotel Jogja;7.8
90129F;Lia Homestay;8.3
90210B;OYO 2224 Lousiana House Near RS Condong Catur;9.2
90199C;RedDoorz near UGM 3;7.2
21955;OYO 3468 Ndalem Gusti Ayu;9.3
72802C;Hotel Sala;7.9
22109;Blue Garden Yogyakarta;8.3
85116;RedDoorz Syariah @ Wisma Arya 2;8.1
22531;Antasena;9.0
21811;JJ House Gejayan;6.9
22183;Griya Lowanu Yogyakarta;7.3
21678;"""NOMORE"" Gallery and Guesthouse";9.5
21676;OYO 1241 Eirini Family Residence;7.0
84625A;ARUNA Java guesthouse;8.5
84625C;Omah Pugeran Jogja;8.8
21931;The Journey Hotel;8.1
85169B;The Sleepingroom Hostel;8.6
16238;The Sleepingroom Hostel;8.6
20668;Hinggil Homestay Syariah;7.6
84906;OYO 1162 ZE room;8.1
21867;RedDoorz near Malioboro Tugu Station Jogja 2;8.4
22075;Griya Mulya;8.5
21866;The Sawah Home Hotel;9.6
21326;RedDoorz Plus near Taman Sari 2;6.6
21065;RedDoorz Plus near Lempuyangan Station 4;6.4
22074;Shakilla Homestay&Kost Muslimah;8.4
22900;Cemara Homestay;8.8
20713;Silas Garden;9.3
20966;Sabana Homestay;8.8
21116;RedDoorz near Tugu Yogyakarta;7.0
90199C;TONITEL Hotel Malioboro Yogyakarta;7.4
22633;OYO 634 Elga Sastro Inn Syariah;8.1
22866;OYO 1226 Al Abror Residence;7.8
22198;OYO 1369 Griya Damai Syariah;8.4
21824;RedDoorz Syariah @ Babadan Baru Jakal;9.0
21823;Grapyak Homestay Syariah;7.9
22153;Kinasih Hotel Yogyakarta;6.2
