id;hotel_name;review_score
22273;OYO LIFE 2339 Jennaira Syariah;7.8
22568;SPOT ON 2754 Miyagi Guesthouse;7.0
22141;Grass Root Homestay;9.0
22144;OYO 2469 Cashlez Homestay;6.9
22570;Homestay Dipo 71;6.2
22569;Kembar Guesthouse;7.7
21448;Gado-gado BnB;9.3
22086;Mamagayo inn;8.1
22569;D'Angkring Wisma Sarjana;4.7
21448;RedDoorz near Universitas Islam Indonesia;8.8
22968;Mas Gun Guest House;8.0
22902;OYO 1593 Pondok Garini Syariah;8.4
21448;JJ House Wahid Hasyim;7.5
22902;Pendopo Andari Homestay;8.6
21710;OYO 1419 Rhona Guest House Syariah Near RSUD Kota Yogyakarta;8.3
21708;Omah Ambarukmo;6.3
21711;OYO 3788 Bellinn Kost Exclusive;4.3
22179;MashBrow Hostel;7.9
22197;Losmen Setia Kawan;7.3
22900;OYO 1073 Pogung W1 Exclusive;7.2
21706;Kona Backpacker Rooms;7.1
22468;SPOT ON 2358 Aster Homestay;6.4
20725;One More Night Hostel;9.9
85184C;OYO 810 Idola Residence;7.8
21708;OYO 2105 Hotel Sanca Inn;7.1
22900;OYO 1366 Kayoman Family Homestay Near RSI Hidayatullah;6.4
21706;OYO 1072 Kampung Condro Wulan Residence;8.7
22988;OYO 1238 Hotel Perdana Near RS Bethesda;7.0
85184C;OYO 1680 Dahlia Guesthouse Near RSI Hidayatullah;6.7
20750;Janti Transit Room Syariah;6.5
22139;Tasneem Hotel & Convention Yogyakarta;6.8
22952;Rifka Annisa Guesthouse Syariah;8.8
22910;Herry Home Stay_Jogja;9.3
22739;Odessa 1 - Ten minutes to Malioboro;8.9
22738;Omah Pelem Yogya;9.3
22736;ndalem eRPe;9.1
22909;Joglo Sawit Sari;9.1
35591T;Yogyakarta Tropicana Villa;8.8
22186;Agrapana Guesthouse 2;8.7
22695;Puri Chorus Boutique Hotel;5.6
22470;Wilujeng Guest House;8.3
22580;Dyah Suminar House;9.6
22469;Awana Town House AT 37;7.9
22147;Sumringah Homestay;9.2
22130;Omahkoe Jongke;8.8
21791;Summergrass B&B;9.1
22694;Jogja Backpacker Home;8.9
21790;OYO 1195 The Doctor's Guest House Syariah;9.5
22149;OYO 408 Graha Vege Jawi Syariah;9.1
22900;Aty Noor Homestay;7.7
22961;Griya Bisma Homestay;9.4
22321;Losmen Alden;5.9
22594;Kampoeng Joglo Boutique Hotel;8.8
22593;BB Homestay;7.7
22595;Tiga Dua Homestay;8.7
21986;Kali Kala Yogyakarta;9.5
22750;Ndalem Sorogenen Guesthouse;6.5
22616;Reddoorz Plus Syariah @ Monginsidi Guest House;7.9
22775;E Kamar Jogja;6.6
22899;Glory Homestay;9.0
22367;OYO 1196 Hotel Pura Puspa Rosa;7.4
22942;Hotel Puspita;6.3
22941;La Luna Resort Yogyakarta;9.2
22086;Embe Joglo Homestay;9.6
22940;OYO 722 Uno Residence;9.0
