hotel_name;review_score;review_score_text;review_score_title;hotel_price
Aston Kartika Grogol Hotel & Conference Center;;173 reviews;Fabulous;Rp 494,067
Orchardz Jayakarta;;301 reviews;Good;Rp 258,030
Neo Hotel Melawai by ASTON;;217 reviews;Good;Rp 397,398
Swiss-Belresidences Rasuna Epicentrum;;65 reviews;Good;Rp 521,500
Millennium Hotel Sirih Jakarta;;1,036 reviews;Very good;Rp 635,250
Heef Hotel;;91 reviews;Good;Rp 270,000
Aston Bellevue Radio Dalam;;176 reviews;Good;Rp 519,859
Grand Mercure Jakarta Harmoni;;539 reviews;Very good;Rp 1,041,647
De 80's Genteng Ijo;;106 reviews;Good;Rp 168,960
Artotel Thamrin - Jakarta;;296 reviews;Very good;Rp 634,500
Harris Suites Puri Mansion;;20 reviews;Very good;Rp 410,970
All Seasons Jakarta Thamrin;;555 reviews;Good;Rp 435,600
Aryaduta Suite Semanggi;;562 reviews;Good;Rp 888,889
Kemang Utara Creative Villas;;13 reviews;Very good;Rp 1,833,000
Hotel Santika Kelapa Gading;;158 reviews;Good;Rp 406,080
De 80's Ekonomi;;31 reviews;;Rp 158,625
Treehouse Suites - Boutique Serviced Apartment;;139 reviews;Fabulous;Rp 630,000
Park Regis Arion Kemang;;358 reviews;Very good;Rp 450,000
ibis Styles Jakarta Simatupang;;103 reviews;Very good;Rp 488,665
POP! Hotel Tebet Jakarta;;135 reviews;Good;Rp 313,500
Amaroossa Cosmo Jakarta;;71 reviews;Good;Rp 425,182
Liberta Hotel Kemang;;179 reviews;Good;Rp 359,412
Grand Tjokro Jakarta;;303 reviews;Good;Rp 381,150
The Bellezza Suites;;220 reviews;Good;Rp 698,400
Merlynn Park Hotel;;1,911 reviews;Very good;Rp 628,200
JS Luwansa Hotel & Convention Center;;237 reviews;Very good;Rp 1,024,100
Novotel Jakarta Cikini;;116 reviews;Fabulous;Rp 726,401
THE 1O1 Jakarta Sedayu Darmawangsa;;296 reviews;Very good;Rp 550,000
Novotel Jakarta Gajah Mada;;302 reviews;Very good;Rp 730,235
Midtown Residence Simatupang Jakarta;;178 reviews;Good;Rp 680,000
De 80's Matraman;;47 reviews;Very good;Rp 187,040
RedDoorz Plus near GBK Senayan;;72 reviews;Good;Rp 190,024
Harper MT Haryono by ASTON;;266 reviews;Good;Rp 530,000
Aryaduta Menteng;;636 reviews;Very good;Rp 630,000
Oakwood Suites La Maison Jakarta;;39 reviews;Superb;Rp 1,610,280
Guest House Dewi Fortuna;;18 reviews;;Rp 143,550
Holiday Inn Jakarta Kemayoran;;185 reviews;Very good;Rp 897,820
Grand Whiz Poins Simatupang Jakarta;;143 reviews;Very good;Rp 450,000
Teraskita Hotel Jakarta managed by Dafam;;182 reviews;Very good;Rp 526,500
Mercure Jakarta Simatupang;;169 reviews;Very good;Rp 740,520
Home 899 Patal Senayan;;49 reviews;Very good;Rp 224,731
Widjoyo Rahayu Cipete 14;;35 reviews;Good;Rp 178,885
ibis Styles Jakarta Tanah Abang;;136 reviews;Fabulous;Rp 432,000
Ibis Jakarta Slipi;;211 reviews;Good;Rp 395,972
Horison GP Mega Kuningan Hotel;;251 reviews;Good;Rp 439,875
Hotel Bulevar Tanjung Duren;;5 reviews;;Rp 203,000
Holiday Inn Jakarta Kemayoran;;185 reviews;Very good;Rp 897,820
Grand Whiz Poins Simatupang Jakarta;;143 reviews;Very good;Rp 450,000
Teraskita Hotel Jakarta managed by Dafam;;182 reviews;Very good;Rp 526,500
Neo Hotel Puri Indah;;7 reviews;Superb;Rp 351,271
Habibah Syariah Hotel;;85 reviews;Good;Rp 116,628
Horison GP Mega Kuningan Hotel;;251 reviews;Good;Rp 439,875
Aston Rasuna;;388 reviews;;Rp 752,550
favehotel Zainul Arifin Gajah Mada;;187 reviews;Good;Rp 330,088
Happy Inn;;93 reviews;Very good;Rp 305,000
Novotel Jakarta Mangga Dua Square;;1,245 reviews;Very good;Rp 831,633
Sunlake Hotel;;441 reviews;Good;Rp 606,000
Royal Kuningan;;196 reviews;Good;Rp 572,000
Ibis Budget Jakarta Menteng;;388 reviews;Good;Rp 280,000
favehotel Kelapa Gading;;178 reviews;;Rp 317,504
Capital O 203 Prasada Mansion Sudirman;;195 reviews;Good;Rp 277,780
Mercure Jakarta Cikini;;282 reviews;Very good;Rp 717,760
RedDoorz Plus @ Danau Sunter Utara;;36 reviews;Good;Rp 212,916
Legacy Residence Syariah;;21 reviews;Very good;Rp 230,354
Arosa Hotel Jakarta;;174 reviews;Very good;Rp 459,000
Mk House Scbd;;266 reviews;Good;Rp 239,633
Naya Soho;;7 reviews;Very good;Rp 400,000
Amaris Hotel Senen;;140 reviews;Good;Rp 335,800
Ibis Budget Jakarta Cikini;;408 reviews;Good;Rp 250,000
Amaris Hotel Senen;;140 reviews;Good;Rp 335,800
Ibis Budget Jakarta Cikini;;408 reviews;Good;Rp 250,000
De Green Residence;;15 reviews;Good;Rp 133,650
Amaris Hotel Pasar Baru;;74 reviews;Good;Rp 331,100
RedDoorz Plus near Mangga Besar Station 2;;52 reviews;;Rp 170,258
Coin's Hotel Jakarta;;87 reviews;Good;Rp 236,880
The Grove Suites;;607 reviews;Very good;Rp 855,885
ibis Styles Jakarta Gajah Mada;;419 reviews;Very good;Rp 368,203
favehotel PGC Cililitan;;188 reviews;Good;Rp 336,864
Hotel Santika Premiere Hayam Wuruk Jakarta;;259 reviews;Very good;Rp 517,773
The Kuningan Suites;;451 reviews;Good;Rp 719,100
Sari Pacific Jakarta;;275 reviews;Good;Rp 743,919
Luminor Hotel Kota;;32 reviews;Very good;Rp 815,000
POP! Hotel Kemang Jakarta;;177 reviews;Good;Rp 396,000
Hotel GranDhika Iskandarsyah;;157 reviews;Very good;Rp 634,500
Best Western Plus Kemayoran Hotel;;365 reviews;Good;Rp 443,520
The Gunawarman;;109 reviews;Fabulous;Rp 1,861,200
Hotel Santika Taman Mini Indonesia Indah;;163 reviews;Good;Rp 547,588
Mutiara Kostel;;6 reviews;;Rp 192,893
RedDoorz Plus near Lippo Mall Kemang 2;;32 reviews;Good;Rp 250,797
Palm Eight Residence;;38 reviews;Fabulous;Rp 170,610
RedDoorz near CBD Ciledug Family Mall;;14 reviews;Very good;Rp 161,123
Grandkemang Hotel;;315 reviews;Good;Rp 716,356
Menteng Park Exclusive Emerald;;17 reviews;Superb;Rp 519,820
RedDoorz Plus @ Cideng Barat;;99 reviews;Good;Rp 187,110
Oakwood Apartments PIK Jakarta;;10 reviews;Good;Rp 999,999
Yello Hotel Manggarai;;132 reviews;Very good;Rp 478,500
Everyday Smart Hotel Mayestik;;45 reviews;Good;Rp 325,000
Aston Pluit Hotel & Residence;;258 reviews;Good;Rp 685,860
MaxOne Platinum Hayam Wuruk;;250 reviews;Very good;Rp 400,001
Amaris Hotel Slipi;;3 reviews;Superb;Rp 376,000
HARRIS Hotel Tebet Jakarta;;136 reviews;Good;Rp 675,860
RedDoorz near Cipinang Indah Mall;;9 reviews;;Rp 203,799
De 80's Pondok Labu;;10 reviews;Good;Rp 215,600
RedDoorz Plus near Dharmawangsa Square;;34 reviews;Good;Rp 351,619
Best Western Senayan;;144 reviews;Good;Rp 486,500
RedDoorz @ Apartemen Green Lake View Cimanggis;;8 reviews;;Rp 112,530
Hotel D'Boegis;;107 reviews;;Rp 303,115
POP! Hotel Kelapa Gading;;244 reviews;Good;Rp 377,872
Sparks Life Jakarta;;123 reviews;Good;Rp 347,800
Red Planet Jakarta Pasar Baru;;80 reviews;Good;Rp 263,340
SOTIS Hotel Kemang  Jakarta;8.4;13 reviews;Very good;
Bangka Suite;;11 reviews;Very good;Rp 218,189
Whiz Hotel Cikini Jakarta;;63 reviews;Good;Rp 282,500
RedDoorz Premium @ Cilandak Timur 2;;16 reviews;Good;Rp 233,827
RedDoorz Apartment @ Padina Soho and Residence;;7 reviews;Very good;Rp 208,230
Sotis Residence Pejompongan;;127 reviews;Very good;Rp 360,000
Batavia Apartments  Hotel & Serviced Residences;6.5;152 reviews;;Rp 594,000
HARRIS Hotel Tebet Jakarta;7.6;136 reviews;;Rp 632,720
New Priok Indah Syariah Hotel;7.6;57 reviews;;Rp 131,130
RedDoorz Plus near Gandaria City Mall 2;7.8;27 reviews;;Rp 221,760
Cabin Hotel;7.7;140 reviews;;Rp 420,000
Tuju WK Homes Syariah;8.3;3 reviews;;Rp 141,832
RedDoorz Plus near JIEXPO Kemayoran;7.4;39 reviews;;Rp 176,715
Balairung Hotel Jakarta;7.9;28 reviews;;Rp 360,000
Avissa Suites;8.5;146 reviews;;Rp 458,526
Amaris Hotel La Codefin Kemang;7.5;130 reviews;;Rp 334,400
F Hotel Jakarta;7.1;99 reviews;;Rp 296,100
City Biz Residence;8.2;12 reviews;;Rp 200,416
Amaris Hotel Thamrin City;7.6;139 reviews;;Rp 308,000
RedDoorz Apartment @ Pasar Baru Mansion;7.2;11 reviews;;Rp 173,250
Hotel 88 ITC Fatmawati Jakarta;7.6;48 reviews;;Rp 380,000
Travellers Hotel Jakarta;7.5;173 reviews;;Rp 352,000
favehotel Pasar Baru;8.5;108 reviews;;Rp 305,048
Kemang Eleven;7.7;51 reviews;;Rp 215,186
DE GREEN INN Kebon Jeruk;6.2;14 reviews;;Rp 232,560
RedDoorz Plus near Trisakti University;6.4;11 reviews;;Rp 93,555
Capital O 534 Sriwijaya Hotel;7.6;337 reviews;;Rp 342,703
Tamansari Agung Residence;4.3;4 reviews;;Rp 138,375
Kasira Residence;7.9;54 reviews;;Rp 345,770
Verse Lite Hotel Gajah Mada;7.8;127 reviews;;Rp 280,694
The Akmani;7.7;259 reviews;;Rp 435,600
Widjoyo Rahayu Antasari 12;7.9;20 reviews;;Rp 189,030
Rasuna Icon Hotel;8.1;422 reviews;;Rp 460,908
Zuri Express Mangga Dua;8.3;152 reviews;;Rp 283,547
RedDoorz near Kebon Jeruk Jakarta;7.4;30 reviews;;Rp 200,970
Ibis Jakarta Tamarin;7.4;149 reviews;;Rp 381,150
Amaris Hotel Dr. Susilo Grogol;7.5;76 reviews;;Rp 342,000
Kristal Hotel Jakarta;8.1;534 reviews;;Rp 967,613
RedDoorz Plus @ Setiabudi Tengah;6.3;17 reviews;;Rp 197,835
Peggy Central Park Residences;7.9;34 reviews;;Rp 800,000
RedDoorz near Puri Indah Mall;7.1;17 reviews;;Rp 199,646
Business Hotel;7.2;211 reviews;;Rp 181,552
Amaris Hotel Tebet;7.1;49 reviews;;Rp 372,240
Plaza 68 Residence;4.7;3 reviews;;Rp 260,260
D’Padmaya Residence;7.2;7 reviews;;Rp 325,801
RedDoorz Premium near RS Pondok Indah La Maison;8.3;46 reviews;;Rp 323,563
Citi M Hotel Gambir;8.0;1,109 reviews;;Rp 292,500
Jambuluwuk Thamrin Hotel;8.6;61 reviews;;Rp 455,000
OYO 3811 Best Inn Hotel;6.7;11 reviews;;Rp 201,040
favehotel Tanah Abang - Cideng;7.9;176 reviews;;Rp 310,757
PSW Antasari Hotel;8.2;15 reviews;;Rp 513,945
Sleepzzz Hotel Senayan;7.4;150 reviews;;Rp 251,071
Marson Interkota Residence;8.5;6 reviews;;Rp 107,415
Ayaka Suites;8.4;292 reviews;;Rp 544,210
Nostoi;8.3;41 reviews;;Rp 611,050
Maven Cilandak;7.0;43 reviews;;Rp 200,000
RedDoorz Plus near Dunia Fantasi Ancol;8.3;73 reviews;;Rp 235,884
Hotel 88 Tendean Jakarta;7.0;20 reviews;;Rp 374,999
Hotel Bidakara;7.6;53 reviews;;Rp 585,000
RedDoorz Plus near RSCM Jakarta;7.2;79 reviews;;Rp 161,438
RedDoorz Syariah near Ragunan Zoo 3;6.7;13 reviews;;Rp 114,188
RedDoorz Plus @ Guntur Raya Setiabudi;7.4;56 reviews;;Rp 225,375
Kemang Icon;7.8;30 reviews;;Rp 1,420,000
Tuju Abuserin Syariah;7.8;7 reviews;;Rp 129,447
Hotel Istana Bungur;7.1;22 reviews;;Rp 145,384
MaxOne Signature Glodok Jakarta;7.5;275 reviews;;Rp 269,100
The Residences at Puri Casablanca;7.4;579 reviews;;Rp 688,889
UROOMS Tanah Abang;7.4;95 reviews;;Rp 161,855
Delua Hotel;7.5;60 reviews;;Rp 328,500
OYO 4005 Bunga Dahlia Guest House;7.8;13 reviews;;Rp 213,851
LeGreen Suite Pejompongan;7.2;8 reviews;;Rp 277,500
RedDoorz Plus near Plaza Blok M 2;6.3;7 reviews;;Rp 196,004
Gold Coast PIK Sea View Apartments by LongeStay;8.9;69 reviews;;Rp 515,000
Little Amaroossa Residence;7.3;104 reviews;;Rp 372,600
RedDoorz Premium near Ragunan Zoo 2;7.4;57 reviews;;Rp 236,250
RedDoorz Syariah @ Jatinegara;7.3;7 reviews;;Rp 160,846
RedDoorz @ Pangeran Antasari 2;5.9;16 reviews;;Rp 185,625
RedDoorz Plus near Plaza Indonesia;6.8;159 reviews;;Rp 146,475
RedDoorz near Taman Palem;7.6;36 reviews;;Rp 188,763
RedDoorz Plus @ Pasar Baru;7.2;61 reviews;;Rp 171,351
RedDoorz @ Bandengan Jakarta;9.0;10 reviews;;Rp 111,038
RedDoorz Plus Syariah near Mall Pondok Indah;8.0;6 reviews;;Rp 141,917
Leisure Inn Arion Hotel;7.4;8 reviews;;Rp 395,845
UROOMS Senopati;8.3;3 reviews;;Rp 255,189
Royal Palm Hotel & Conference Center Cengkareng;7.2;140 reviews;;Rp 472,500
OYO 1319 Puspita Guesthouse;5.3;17 reviews;;Rp 217,272
Front One Cabin Sunter;7.8;10 reviews;;Rp 220,000
White Tree Residence;8.3;123 reviews;;Rp 571,802
The Sultan Residences Jakarta;7.1;50 reviews;;Rp 1,391,199
Hotel Desa Wisata;7.3;52 reviews;;Rp 594,239
RedDoorz near Binus Anggrek 2;7.5;11 reviews;;Rp 198,327
Ibis Styles Jakarta Sunter;7.4;72 reviews;;Rp 390,634
N Hotel Harmoni Jakarta;6.7;628 reviews;;Rp 165,600
Apartemen Pakubuwono Terrace Netty;5.5;5 reviews;;Rp 400,000
The Nyaman;7.5;16 reviews;;Rp 316,800
OYO 3963 Safira Homestay Syariah;9.2;21 reviews;;Rp 275,162
Widjoyo Rahayu Cilandak 8A;7.7;20 reviews;;Rp 200,032
Klinpod Hotel;7.3;30 reviews;;Rp 183,784
Channel Stay @ Bassura City Apartment;8.2;7 reviews;;Rp 618,520
Golden Boutique Hotel Melawai;7.4;84 reviews;;Rp 463,037
RedDoorz near Hayam Wuruk;6.1;92 reviews;;Rp 122,142
Neo Hotel Tendean Jakarta by ASTON;7.0;164 reviews;;Rp 357,655
Cordela Senen Jakarta;8.1;56 reviews;;Rp 351,500
Vayassi House Syariah;8.4;8 reviews;;Rp 167,314
RedDoorz @ Cilandak Timur;7.0;15 reviews;;Rp 220,264
RedDoorz Syariah near Mercu Buana University;7.4;9 reviews;;Rp 205,061
RedDoorz Plus near Halim Perdanakusuma 2;7.3;46 reviews;;Rp 207,821
Amaris Hotel Panglima Polim 2;7.1;77 reviews;;Rp 352,800
OYO 2308 Seven Season Residence;8.1;13 reviews;;Rp 160,470
Hotel Bulevar Tanjung Duren Jakarta;7.2;188 reviews;;Rp 210,000
LeGreen Suite Kuningan;7.6;36 reviews;;Rp 277,500
Yuan Garden Pasar Baru;7.5;8 reviews;;Rp 1,835,000
MaxoneHotels.com at Kramat;8.0;119 reviews;;Rp 300,000
RedDoorz Syariah near Pondok Indah Mall 3;7.1;43 reviews;;Rp 111,573
Pejaten Valley Residence;7.6;20 reviews;;Rp 432,335
Prinsen Park Hotel;6.7;18 reviews;;Rp 176,000
SPOT ON 3155 Penginapan Banyu Biru Syariah;5.0;4 reviews;;Rp 95,738
Grand Paragon Hotel;7.4;77 reviews;;Rp 330,321
Collection O 6 Grand Palace Kemayoran;8.0;29 reviews;;Rp 366,592
S&A Hotel Residence;6.0;4 reviews;;Rp 223,787
OYO 2628 Kartini Residence;5.5;29 reviews;;Rp 89,099
Dreamtel Jakarta;7.3;307 reviews;;Rp 276,413
Glory Mansion Resident;6.6;41 reviews;;Rp 150,000
RedDoorz Plus near Senen;4.9;47 reviews;;Rp 127,969
Titanium Express HomTel;8.0;80 reviews;;Rp 484,000
Ampera Avenue Residence;8.2;15 reviews;;Rp 400,000
RedDoorz near Pecenongan 2;7.0;18 reviews;;Rp 177,975
RedDoorz Plus near TIS Square;5.8;10 reviews;;Rp 187,076
RedDoorz near ITC Mangga Dua;6.7;33 reviews;;Rp 106,312
OYO 780 Acg House Kalibata Syariah;8.8;71 reviews;;Rp 222,223
Hotel Borobudur Jakarta;8.3;656 reviews;;Rp 2,250,000
Veranda Serviced Residence Puri;7.7;61 reviews;;Rp 488,300
RedDoorz Resort @ Taman Wisata Mangrove;7.1;57 reviews;;Rp 191,250
Vayassi House Syariah;8.4;8 reviews;;Rp 190,129
Grand Picasso Hotel;7.8;348 reviews;;Rp 395,640
OYO 1941 Aaa Residence Syariah;7.8;24 reviews;;Rp 185,644
favehotel Gatot Subroto Jakarta;7.8;119 reviews;;Rp 413,120
Blossom Resident Blok M;7.9;12 reviews;;Rp 219,726
RedDoorz Plus @ Radio Dalam 2;7.4;20 reviews;;Rp 196,009
OYO 366 Thamadhiro Residence;7.1;29 reviews;;Rp 155,526
Mahakam24 Residence;7.8;12 reviews;;Rp 205,875
Green Bamboo Residence;7.4;38 reviews;;Rp 206,500
K-Style Eco Hotel Jakarta;6.8;21 reviews;;Rp 150,622
RedDoorz Plus near Ancol;7.9;60 reviews;;Rp 133,875
Studio One;7.4;195 reviews;;Rp 225,000
Hotel Cikini;7.7;15 reviews;;Rp 288,000
Topaz Residence;7.9;82 reviews;;Rp 231,000
Maven Buncit;7.1;56 reviews;;Rp 235,000
Hotel Pinangsia;6.1;110 reviews;;Rp 141,075
éL Hotel Royale Jakarta;7.3;173 reviews;;Rp 517,000
Amaris Hotel Pluit;7.1;50 reviews;;Rp 392,000
Inap At Capsule Jakarta;8.1;301 reviews;;Rp 113,443
RedDoorz Plus @ Thamrin;7.8;163 reviews;;Rp 294,408
Neo Hotel Mangga Dua by ASTON;7.0;773 reviews;;Rp 388,531
Capital O 1748 Thamrin Condotel;4.9;14 reviews;;Rp 283,334
V Hotel Tebet;7.9;45 reviews;;Rp 343,200
RedDoorz Plus @ Kelapa Dua Kebon Jeruk;7.0;24 reviews;;Rp 230,153
M Hotel;7.8;84 reviews;;Rp 335,580
RedDoorz near Pancoran;7.5;18 reviews;;Rp 218,373
Saffron Suites Syariah;9.0;4 reviews;;Rp 216,200
Hotel Daily Inn;7.9;47 reviews;;Rp 517,000
Hotel Gran Mahakam;8.7;315 reviews;;Rp 1,579,050
Hotel Zia Sanno Jakarta - Pluit;7.3;12 reviews;;Rp 405,000
OYO Flagship 210 Amethyst Kemayoran;7.3;210 reviews;;Rp 244,397
Amaris Hotel Mampang - Jakarta;8.0;49 reviews;;Rp 395,000
Sawana Suites;8.0;32 reviews;;Rp 548,900
Tujutiga Suites;8.4;65 reviews;;Rp 305,500
OYO 1487 Residence Khoe Near RS Royal Taruma;8.2;24 reviews;;Rp 201,459
Ravarine Suite Apartment;8.0;36 reviews;;Rp 742,365
RedDoorz Plus near Mall Ciputra Jakarta;7.2;39 reviews;;Rp 166,320
RedDoorz Plus near Manggarai Station 3;8.7;8 reviews;;Rp 229,478
Hotel Diradja;7.0;40 reviews;;Rp 405,000
Nest Residence;8.7;29 reviews;;Rp 175,780
Wisma Talenta;7.9;4 reviews;;Rp 138,253
OYO 148 Cempaka Place Homestay;7.7;165 reviews;;Rp 160,235
LeGreen Suite Penjernihan n Benhil;8.0;13 reviews;;Rp 277,500
OYO 918 Hotel Senen Indah Syariah;7.2;84 reviews;;Rp 214,419
RedDoorz @ Jatiwaringin;7.8;20 reviews;;Rp 194,700
Zodiak MT Haryono by KAGUM Hotels;7.1;9 reviews;;Rp 285,101
Kemang Place Syariah;5.7;4 reviews;;Rp 138,930
108 Hotel by HIM;7.3;26 reviews;;Rp 368,235
Karsa Utama Hotel;7.1;45 reviews;;Rp 182,000
RedDoorz Plus @ Kemayoran;7.4;30 reviews;;Rp 140,648
OYO 3300 Nadjara Residence Syariah;5.4;26 reviews;;Rp 168,815
Good Room at Jakarta;5.9;20 reviews;;Rp 105,750
OYO 115 Portal Residence;8.3;81 reviews;;Rp 194,289
Hotel Cantik Syari;8.4;15 reviews;;Rp 175,861
Dwijaya House of Pakubuwono;9.1;40 reviews;;Rp 827,200
Eightin Jakarta;7.6;105 reviews;;Rp 386,100
Rota International Hotel;5.4;11 reviews;;Rp 260,000
Hotel Gran Mahakam;8.7;315 reviews;;Rp 1,579,050
Hotel Zia Sanno Jakarta - Pluit;7.3;12 reviews;;Rp 405,000
PINX'S HOSTEL;8.4;170 reviews;;Rp 149,900
D'Hotel Jakarta;7.8;115 reviews;;Rp 320,000
OYO 90056 Wisma Kebon Kacang 9;8.0;3 reviews;;Rp 179,965
Paragon Wahid Hasyim;6.0;3 reviews;;Rp 276,667
Veranda Residence at Puri Kembangan by Aparian;8.1;6 reviews;;Rp 750,000
LeGreen Suite Senayan;6.9;16 reviews;;Rp 277,500
Amaris Hotel Mangga Besar;7.1;29 reviews;;Rp 324,000
Sakura Terrace;8.9;19 reviews;;Rp 660,000
Mutiara Suites;6.5;38 reviews;;Rp 430,333
OYO 665 Namora Residence Near Olahraga Nasional Hospital;6.9;46 reviews;;Rp 226,943
Amaris Hotel Tendean;7.2;59 reviews;;Rp 352,500
