hotel_name;review_score;id
Pendopo Andari Homestay;8.6;22902
OYO 1419 Rhona Guest House Syariah Near RSUD Kota Yogyakarta;8.3;21710
Omah Ambarukmo;6.3;21708
OYO 3788 Bellinn Kost Exclusive;4.3;21711
MashBrow Hostel;7.9;22179
Losmen Setia Kawan;7.3;22197
OYO 1073 Pogung W1 Exclusive;7.2;22900
Kona Backpacker Rooms;7.1;21706
SPOT ON 2358 Aster Homestay;6.4;22468
One More Night Hostel;9.9;20725
OYO 810 Idola Residence;7.8;85184C
OYO 2105 Hotel Sanca Inn;7.1;21708
OYO 1366 Kayoman Family Homestay Near RSI Hidayatullah;6.4;22900
OYO 1072 Kampung Condro Wulan Residence;8.7;21706
OYO 1238 Hotel Perdana Near RS Bethesda;7.0;22988
OYO 1680 Dahlia Guesthouse Near RSI Hidayatullah;6.7;85184C
Janti Transit Room Syariah;6.5;20750
Tasneem Hotel & Convention Yogyakarta;6.8;22139
Rifka Annisa Guesthouse Syariah;8.8;22952
Herry Home Stay_Jogja;9.3;22910
Odessa 1 - Ten minutes to Malioboro;8.9;22739
Omah Pelem Yogya;9.3;22738
ndalem eRPe;9.1;22736
Joglo Sawit Sari;9.1;22909
Yogyakarta Tropicana Villa;8.8;35591T
Agrapana Guesthouse 2;8.7;22186
Puri Chorus Boutique Hotel;5.6;22695
Wilujeng Guest House;8.3;22470
Dyah Suminar House;9.6;22580
Awana Town House AT 37;7.9;22469
Sumringah Homestay;9.2;22147
Omahkoe Jongke;8.8;22130
Summergrass B&B;9.1;21791
Jogja Backpacker Home;8.9;22694
OYO 1195 The Doctor's Guest House Syariah;9.5;21790
OYO 408 Graha Vege Jawi Syariah;9.1;22149
Aty Noor Homestay;7.7;22900
Griya Bisma Homestay;9.4;22961
Losmen Alden;5.9;22321
Kampoeng Joglo Boutique Hotel;8.8;22594
BB Homestay;7.7;22593
Tiga Dua Homestay;8.7;22595
Kali Kala Yogyakarta;9.5;21986
Ndalem Sorogenen Guesthouse;6.5;22750
Reddoorz Plus Syariah @ Monginsidi Guest House;7.9;22616
E Kamar Jogja;6.6;22775
Glory Homestay;9.0;22899
OYO 1196 Hotel Pura Puspa Rosa;7.4;22367
Hotel Puspita;6.3;22942
La Luna Resort Yogyakarta;9.2;22941
Embe Joglo Homestay;9.6;22086
OYO 722 Uno Residence;9.0;22940
